day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
19,9,2020,Asia,Afghanistan,47,1,33,12526397,30.0
18,9,2020,Asia,Afghanistan,0,0,33,12526397,30.0
17,9,2020,Asia,Afghanistan,17,0,33,12526397,30.0
16,9,2020,Asia,Afghanistan,40,10,33,12526397,30.0
15,9,2020,Asia,Afghanistan,99,6,33,12526397,30.0
14,9,2020,Asia,Afghanistan,75,0,33,12526397,30.0
13,9,2020,Asia,Afghanistan,35,0,33,12526397,30.0
12,9,2020,Asia,Afghanistan,34,0,33,12526397,30.0
11,9,2020,Asia,Afghanistan,28,0,33,12526397,30.0
10,9,2020,Asia,Afghanistan,24,2,33,12526397,30.0
9,9,2020,Asia,Afghanistan,26,3,33,12526397,30.0
8,9,2020,Asia,Afghanistan,96,3,33,12526397,30.0
7,9,2020,Asia,Afghanistan,74,2,33,12526397,30.0
6,9,2020,Asia,Afghanistan,20,0,33,12526397,30.0
5,9,2020,Asia,Afghanistan,16,0,33,12526397,30.0
4,9,2020,Asia,Afghanistan,45,1,33,12526397,30.0
3,9,2020,Asia,Afghanistan,38,3,33,12526397,30.0
2,9,2020,Asia,Afghanistan,9,0,33,12526397,30.0
1,9,2020,Asia,Afghanistan,34,4,33,12526397,30.0
31,8,2020,Asia,Afghanistan,19,0,33,12526397,30.0
30,8,2020,Asia,Afghanistan,3,0,33,12526397,30.0
29,8,2020,Asia,Afghanistan,11,1,33,12526397,30.0
28,8,2020,Asia,Afghanistan,3,0,33,12526397,30.0
27,8,2020,Asia,Afghanistan,55,4,33,12526397,30.0
26,8,2020,Asia,Afghanistan,1,0,33,12526397,30.0
25,8,2020,Asia,Afghanistan,71,10,33,12526397,30.0
24,8,2020,Asia,Afghanistan,0,0,33,12526397,30.0
23,8,2020,Asia,Afghanistan,105,2,33,12526397,30.0
22,8,2020,Asia,Afghanistan,38,0,33,12526397,30.0
21,8,2020,Asia,Afghanistan,97,2,33,12526397,30.0
20,8,2020,Asia,Afghanistan,160,8,33,12526397,30.0
19,8,2020,Asia,Afghanistan,0,0,33,12526397,30.0
18,8,2020,Asia,Afghanistan,3,0,33,12526397,30.0
17,8,2020,Asia,Afghanistan,45,5,33,12526397,30.0
16,8,2020,Asia,Afghanistan,120,7,33,12526397,30.0
15,8,2020,Asia,Afghanistan,7,0,33,12526397,30.0
14,8,2020,Asia,Afghanistan,79,9,33,12526397,30.0
13,8,2020,Asia,Afghanistan,76,10,33,12526397,30.0
12,8,2020,Asia,Afghanistan,215,32,33,12526397,30.0
11,8,2020,Asia,Afghanistan,0,0,33,12526397,30.0
10,8,2020,Asia,Afghanistan,0,0,33,12526397,30.0
9,8,2020,Asia,Afghanistan,39,5,33,12526397,30.0
8,8,2020,Asia,Afghanistan,78,9,33,12526397,30.0
7,8,2020,Asia,Afghanistan,41,0,33,12526397,30.0
6,8,2020,Asia,Afghanistan,67,4,33,12526397,30.0
5,8,2020,Asia,Afghanistan,82,6,33,12526397,30.0
4,8,2020,Asia,Afghanistan,37,4,33,12526397,30.0
3,8,2020,Asia,Afghanistan,0,1,33,12526397,30.0
2,8,2020,Asia,Afghanistan,0,0,33,12526397,30.0
1,8,2020,Asia,Afghanistan,168,12,33,12526397,30.0
31,7,2020,Asia,Afghanistan,71,0,33,12526397,30.0
30,7,2020,Asia,Afghanistan,0,0,33,12526397,30.0
29,7,2020,Asia,Afghanistan,103,1,33,12526397,30.0
28,7,2020,Asia,Afghanistan,105,1,33,12526397,30.0
27,7,2020,Asia,Afghanistan,106,10,33,12526397,30.0
26,7,2020,Asia,Afghanistan,121,13,33,12526397,30.0
25,7,2020,Asia,Afghanistan,108,35,33,12526397,30.0
24,7,2020,Asia,Afghanistan,13,0,33,12526397,30.0
23,7,2020,Asia,Afghanistan,188,21,33,12526397,30.0
22,7,2020,Asia,Afghanistan,112,4,33,12526397,30.0
21,7,2020,Asia,Afghanistan,140,5,33,12526397,30.0
20,7,2020,Asia,Afghanistan,174,17,33,12526397,30.0
19,7,2020,Asia,Afghanistan,12,17,33,12526397,30.0
18,7,2020,Asia,Afghanistan,219,32,33,12526397,30.0
17,7,2020,Asia,Afghanistan,76,21,33,12526397,30.0
16,7,2020,Asia,Afghanistan,254,49,33,12526397,30.0
15,7,2020,Asia,Afghanistan,285,33,33,12526397,30.0
